Transaction Date,Account Number,Account Holder Name,Amount
2025-01-01,000-100000000-00,Alice Johnson,1.00
2025/02/02,000-100000001-01,Bob Smith,1.01
2025-03-03,0000000000000002,Carol Williams,2.02
2025-04-04,000-100000003-03,,3.03
2025-05-05,000-100000004-04,Emma Davis,-10.00
2025-06-06,000-100000005-05,Frank Miller,6.05
2025/07/07,000-100000006-06,Grace Wilson,6.06
2025-08-08,0000000000000007,Hank Moore,7.07
2025-09-09,000-100000008-08,,8.08
2025-10-10,000-100000009-09,Jack Anderson,-10.00
2025-11-11,000-100000010-10,Alice Johnson,11.10
2025/12/12,000-100000011-11,Bob Smith,11.11
2025-01-13,0000000000000012,Carol Williams,12.12
2025-02-14,000-100000013-13,,13.13
2025-03-15,000-100000014-14,Emma Davis,-10.00
2025-04-16,000-100000015-15,Frank Miller,16.15
2025/05/17,000-100000016-16,Grace Wilson,16.16
2025-06-18,0000000000000017,Hank Moore,17.17
2025-07-19,000-100000018-18,,18.18
2025-08-20,000-100000019-19,Jack Anderson,-10.00
2025-09-21,000-100000020-20,Alice Johnson,21.20
2025/10/22,000-100000021-21,Bob Smith,21.21
2025-11-23,0000000000000022,Carol Williams,22.22
2025-12-24,000-100000023-23,,23.23
2025-01-25,000-100000024-24,Emma Davis,-10.00
2025-02-26,000-100000025-25,Frank Miller,26.25
2025/03/27,000-100000026-26,Grace Wilson,26.26
2025-04-28,0000000000000027,Hank Moore,27.27
2025-05-01,000-100000028-28,,28.28
2025-06-02,000-100000029-29,Jack Anderson,-10.00
2025-07-03,000-100000030-30,Alice Johnson,31.30
2025/08/04,000-100000031-31,Bob Smith,31.31
2025-09-05,0000000000000032,Carol Williams,32.32
2025-10-06,000-100000033-33,,33.33
2025-11-07,000-100000034-34,Emma Davis,-10.00
2025-12-08,000-100000035-35,Frank Miller,36.35
2025/01/09,000-100000036-36,Grace Wilson,36.36
2025-02-10,0000000000000037,Hank Moore,37.37
2025-03-11,000-100000038-38,,38.38
2025-04-12,000-100000039-39,Jack Anderson,-10.00
2025-05-13,000-100000040-40,Alice Johnson,41.40
2025/06/14,000-100000041-41,Bob Smith,41.41
2025-07-15,0000000000000042,Carol Williams,42.42
2025-08-16,000-100000043-43,,43.43
2025-09-17,000-100000044-44,Emma Davis,-10.00
2025-10-18,000-100000045-45,Frank Miller,46.45
2025/11/19,000-100000046-46,Grace Wilson,46.46
2025-12-20,0000000000000047,Hank Moore,47.47
2025-01-21,000-100000048-48,,48.48
2025-02-22,000-100000049-49,Jack Anderson,-10.00
2025-03-23,000-100000050-50,Alice Johnson,51.50
2025/04/24,000-100000051-51,Bob Smith,51.51
2025-05-25,0000000000000052,Carol Williams,52.52
2025-06-26,000-100000053-53,,53.53
2025-07-27,000-100000054-54,Emma Davis,-10.00
2025-08-28,000-100000055-55,Frank Miller,56.55
2025/09/01,000-100000056-56,Grace Wilson,56.56
2025-10-02,0000000000000057,Hank Moore,57.57
2025-11-03,000-100000058-58,,58.58
2025-12-04,000-100000059-59,Jack Anderson,-10.00
2025-01-05,000-100000060-60,Alice Johnson,61.60
2025/02/06,000-100000061-61,Bob Smith,61.61
2025-03-07,0000000000000062,Carol Williams,62.62
2025-04-08,000-100000063-63,,63.63
2025-05-09,000-100000064-64,Emma Davis,-10.00
2025-06-10,000-100000065-65,Frank Miller,66.65
2025/07/11,000-100000066-66,Grace Wilson,66.66
2025-08-12,0000000000000067,Hank Moore,67.67
2025-09-13,000-100000068-68,,68.68
2025-10-14,000-100000069-69,Jack Anderson,-10.00
2025-11-15,000-100000070-70,Alice Johnson,71.70
2025/12/16,000-100000071-71,Bob Smith,71.71
2025-01-17,0000000000000072,Carol Williams,72.72
2025-02-18,000-100000073-73,,73.73
2025-03-19,000-100000074-74,Emma Davis,-10.00
2025-04-20,000-100000075-75,Frank Miller,76.75
2025/05/21,000-100000076-76,Grace Wilson,76.76
2025-06-22,0000000000000077,Hank Moore,77.77
2025-07-23,000-100000078-78,,78.78
2025-08-24,000-100000079-79,Jack Anderson,-10.00
2025-09-25,000-100000080-80,Alice Johnson,81.80
2025/10/26,000-100000081-81,Bob Smith,81.81
2025-11-27,0000000000000082,Carol Williams,82.82
2025-12-28,000-100000083-83,,83.83
2025-01-01,000-100000084-84,Emma Davis,-10.00
2025-02-02,000-100000085-85,Frank Miller,86.85
2025/03/03,000-100000086-86,Grace Wilson,86.86
2025-04-04,0000000000000087,Hank Moore,87.87
2025-05-05,000-100000088-88,,88.88
2025-06-06,000-100000089-89,Jack Anderson,-10.00
2025-07-07,000-100000090-90,Alice Johnson,91.90
2025/08/08,000-100000091-91,Bob Smith,91.91
2025-09-09,0000000000000092,Carol Williams,92.92
2025-10-10,000-100000093-93,,93.93
2025-11-11,000-100000094-94,Emma Davis,-10.00
2025-12-12,000-100000095-95,Frank Miller,96.95
2025/01/13,000-100000096-96,Grace Wilson,96.96
2025-02-14,0000000000000097,Hank Moore,97.97
2025-03-15,000-100000098-98,,98.98
2025-04-16,000-100000099-99,Jack Anderson,-10.00
2025-05-17,000-100000100-00,Alice Johnson,101.00
2025/06/18,000-100000101-01,Bob Smith,101.01
2025-07-19,0000000000000102,Carol Williams,102.02
2025-08-20,000-100000103-03,,103.03
2025-09-21,000-100000104-04,Emma Davis,-10.00
2025-10-22,000-100000105-05,Frank Miller,106.05
2025/11/23,000-100000106-06,Grace Wilson,106.06
2025-12-24,0000000000000107,Hank Moore,107.07
2025-01-25,000-100000108-08,,108.08
2025-02-26,000-100000109-09,Jack Anderson,-10.00
2025-03-27,000-100000110-10,Alice Johnson,111.10
2025/04/28,000-100000111-11,Bob Smith,111.11
2025-05-01,0000000000000112,Carol Williams,112.12
2025-06-02,000-100000113-13,,113.13
2025-07-03,000-100000114-14,Emma Davis,-10.00
2025-08-04,000-100000115-15,Frank Miller,116.15
2025/09/05,000-100000116-16,Grace Wilson,116.16
2025-10-06,0000000000000117,Hank Moore,117.17
2025-11-07,000-100000118-18,,118.18
